,date,회사명,직무,url,경력,위치,지원방식,세부정보
0,2023-02-04,현대자동차㈜,현대자동차 연구개발본부 [경력] Robotics Engineer [모바일로봇 하드웨어 설계],https://www.jobkorea.co.kr/Recruit/GI_Read/40959825?Oem_Code=C1&logpath=1&stext=로봇&listno=1,경력,경기,홈페이지 지원,
1,2023-02-04,현대자동차㈜,현대자동차 연구개발본부 [경력] 로봇 UX/UI 설계,https://www.jobkorea.co.kr/Recruit/GI_Read/40895474?Oem_Code=C1&logpath=1&stext=로봇&listno=2,신입·경력,경기,홈페이지 지원,
2,2023-02-04,포스코ICT,로봇사업 분야 신입/경력 정규직 채용 (로봇 자동화 설계 및 Simulation),https://www.jobkorea.co.kr/Recruit/GI_Read/40945279?Oem_Code=C1&logpath=1&stext=로봇&listno=3,신입·경력,경기,홈페이지 지원,"모집분야 및 자격요건
 《 로봇 》
로봇 자동화 설계 및 Simulation
( ○명 )
담당업무 
ㆍ산업용 로봇, AGV/AMR를 활용한 로봇 자동화 설계 및 Simulation(제조/유통 물류)
   - 로봇 및 AGV/AMR 적용(제조 및 물류) 자동화 System 설계 및 Simulation
   - 제철소 및 대외 로봇 자동화 사업 제안/설계/구축

자격요건
ㆍ전자, 전기, 제어, 기계, 산업, 로봇, 메카트로닉스 등 관련 학과 전공자
ㆍ(철강, 제조 및 물류)로봇 자동화 설계, 구축, 운영 경험자
ㆍ3D 시뮬레이션, OLP 사용 가능자
ㆍ산업용 로봇 프로그램(티칭) 가능자

우대사항
ㆍ기계·전기·제어 등 관련 자격증 보유자
ㆍ제철소 등 철강분야 및 물류자동화 로봇 프로젝트 경험자(3년 이상)

근무지
ㆍ판교
 ※ 신입은 입사일로 부터 3개월 간 수습기간 적용


지원기간 및 방법
ㆍ지원기간 : 2023. 01. 27(금) ~ 2023. 02. 12(일) 
ㆍ지원방법 : 당사 채용 홈페이지에 온라인으로만 작성 가능


전형절차
ㆍ서류전형 > 인성검사[온라인] > 실무면접 > 건강검진 > 임원면접 > 결과발표 > 입사
   ※ 상세 전형일정은 회사 상황에  따라 변경될 수 있습니다.
   ※ 각 전형별 결과는 이메일로 개별안내 드립니다.


기타사항
ㆍ지원서의 내용이 사실과 다르거나 문서로 증빙이 불가한 경우, 합격이 취소되거나 심사과정에 불이익을 받을 수 있습니다.
ㆍ자세한 상세요강은 반드시 채용 홈페이지에서 직접 확인해 주시기 바랍니다."
3,2023-02-04,포스코ICT,로봇사업 분야 신입/경력 정규직 채용 (산업용 로봇 엔지니어링 및 프로그래밍-기계),https://www.jobkorea.co.kr/Recruit/GI_Read/40945239?Oem_Code=C1&logpath=1&stext=로봇&listno=4,신입·경력,전남,홈페이지 지원,"모집분야 및 자격요건
 《 로봇 》
산업용 로봇 엔지니어링 및 프로그래밍
( ○명 )
담당업무 
[기계]
ㆍ산업용 로봇 및 AGV를 활용한 공정분석 및 자동화 설계
   - 산업용 로봇 프로그래밍 부문 : 공정분석, 3D 시뮬레이션, 프로그램 개발, 티칭,
     시운전 등
   - 제철소 및 대외 로봇사업 제안서 작성지원

자격요건
ㆍ기계/전기분야 전공자(기계공학, 전기공학, 로봇, 메카트로닉스 등)
ㆍ3D 시뮬레이션, OLP 사용 가능자
ㆍAutocad 사용 가능자
ㆍ산업용 로봇 프로그램 티칭 경험자

우대사항
ㆍ제철소 등 철강분야 로봇 자동화 프로젝트 경험자(3년 이상)

근무지
ㆍ광양
 ※ 신입은 입사일로 부터 3개월 간 수습기간 적용


지원기간 및 방법
ㆍ지원기간 : 2023. 01. 27(금) ~ 2023. 02. 12(일) 
ㆍ지원방법 : 당사 채용 홈페이지에 온라인으로만 작성 가능


전형절차
ㆍ서류전형 > 인성검사[온라인] > 실무면접 > 건강검진 > 임원면접 > 결과발표 > 입사
   ※ 상세 전형일정은 회사 상황에  따라 변경될 수 있습니다.
   ※ 각 전형별 결과는 이메일로 개별안내 드립니다.


기타사항
ㆍ지원서의 내용이 사실과 다르거나 문서로 증빙이 불가한 경우, 합격이 취소되거나 심사과정에 불이익을 받을 수 있습니다.
ㆍ자세한 상세요강은 반드시 채용 홈페이지에서 직접 확인해 주시기 바랍니다."
4,2023-02-04,포스코ICT,로봇사업 분야 경력 정규직 채용 (산업용 로봇 엔지니어링 및 프로그래밍-전기/제어),https://www.jobkorea.co.kr/Recruit/GI_Read/40945034?Oem_Code=C1&logpath=1&stext=로봇&listno=5,경력,전남,홈페이지 지원,"모집분야 및 자격요건
 《 로봇 》
산업용 로봇 엔지니어링 및 프로그래밍
( ○명 )
담당업무 
[전기/제어]
ㆍ산업용 로봇 및 AGV를 활용한 공정분석 및 자동화 설계
   - 산업용 로봇 엔지니어 부문 : 로봇 자동화 시스템 구성 및 상세설계, PLC 프로그래밍 등
   - 제철소 및 대외 로봇사업 제안서 작성지원

자격요건
ㆍ기계/전기분야 전공자(기계공학, 전기/제어 공학, 로봇, 메카트로닉스 등)
ㆍ철강, 제조 및 물류 자동화 사업 유경험자(경력 3년 이상)

우대사항
ㆍ기계·전기 관련 자격증 보유자
ㆍ제철소 등 철강분야 로봇 자동화 프로젝트 경험자(3년 이상)

근무지
ㆍ광양


지원기간 및 방법
ㆍ지원기간 : 2023. 01. 27(금) ~ 2023. 02. 12(일) 
ㆍ지원방법 : 당사 채용 홈페이지에 온라인으로만 작성 가능


전형절차
ㆍ서류전형 > 인성검사[온라인] > 실무면접 > 건강검진 > 임원면접 > 결과발표 > 입사
   ※ 상세 전형일정은 회사 상황에  따라 변경될 수 있습니다.
   ※ 각 전형별 결과는 이메일로 개별안내 드립니다.


기타사항
ㆍ지원서의 내용이 사실과 다르거나 문서로 증빙이 불가한 경우, 합격이 취소되거나 심사과정에 불이익을 받을 수 있습니다.
ㆍ자세한 상세요강은 반드시 채용 홈페이지에서 직접 확인해 주시기 바랍니다."
5,2023-02-04,포스코ICT,로봇사업 분야 신입/경력 정규직 채용 (전기/제어 설계 및 PLC 프로그래밍),https://www.jobkorea.co.kr/Recruit/GI_Read/40944942?Oem_Code=C1&logpath=1&stext=로봇&listno=6,신입·경력,경북,홈페이지 지원,"모집분야 및 자격요건
 《 로봇 》
전기/제어 설계 및 PLC 프로그래밍
( ○명 )
담당업무 
ㆍ산업용 로봇 및 AGV를 활용한 무인화, 생산 자동화
   - 로봇 및 AGV 적용 자동화 System 설계 및 PLC 프로그램 개발
   - 제철소 및 대외 로봇사업 제안서 작성지원

자격요건
ㆍ전자, 전기, 제어, 기계공학 등 관련 학과 전공자
ㆍ철강, 제조 및 물류 자동화 사업 PLC 프로그램 경험자

우대사항
ㆍ기계·전기·제어 등 관련 자격증 보유자
ㆍ제철소 등 철강분야 로봇 자동화 프로젝트 경력(3년 이상)

근무지
ㆍ포항
 ※ 신입은 입사일로 부터 3개월 간 수습기간 적용


지원기간 및 방법
ㆍ지원기간 : 2023. 01. 27(금) ~ 2023. 02. 12(일) 
ㆍ지원방법 : 당사 채용 홈페이지에 온라인으로만 작성 가능


전형절차
ㆍ서류전형 > 인성검사[온라인] > 실무면접 > 건강검진 > 임원면접 > 결과발표 > 입사
   ※ 상세 전형일정은 회사 상황에  따라 변경될 수 있습니다.
   ※ 각 전형별 결과는 이메일로 개별안내 드립니다.


기타사항
ㆍ지원서의 내용이 사실과 다르거나 문서로 증빙이 불가한 경우, 합격이 취소되거나 심사과정에 불이익을 받을 수 있습니다.
ㆍ자세한 상세요강은 반드시 채용 홈페이지에서 직접 확인해 주시기 바랍니다."
6,2023-02-04,포스코ICT,로봇사업 분야 신입/경력 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40940013?Oem_Code=C1&logpath=1&stext=로봇&listno=7,신입·경력,경북,홈페이지 지원,"모집분야 및 자격요건
 《 로봇 》
전기/제어 설계 및 PLC 프로그래밍
( ○명 )
담당업무 
ㆍ산업용 로봇 및 AGV를 활용한 무인화, 생산 자동화
   - 로봇 및 AGV 적용 자동화 System 설계 및 PLC 프로그램 개발
   - 제철소 및 대외 로봇사업 제안서 작성지원

자격요건
ㆍ전자, 전기, 제어, 기계공학 등 관련 학과 전공자
ㆍ철강, 제조 및 물류 자동화 사업 PLC 프로그램 경험자

우대사항
ㆍ기계·전기·제어 등 관련 자격증 보유자
ㆍ제철소 등 철강분야 로봇 자동화 프로젝트 경력(3년 이상)

근무지
ㆍ포항
산업용 로봇 엔지니어링 및 프로그래밍
( ○명 )
담당업무 
[전기/제어]
ㆍ산업용 로봇 및 AGV를 활용한 공정분석 및 자동화 설계
   - 산업용 로봇 엔지니어 부문 : 로봇 자동화 시스템 구성 및 상세설계, PLC 프로그래밍 등
   - 제철소 및 대외 로봇사업 제안서 작성지원

자격요건
ㆍ기계/전기분야 전공자(기계공학, 전기/제어 공학, 로봇, 메카트로닉스 등)
ㆍ철강, 제조 및 물류 자동화 사업 유경험자(경력 3년 이상)

우대사항
ㆍ기계·전기 관련 자격증 보유자
ㆍ제철소 등 철강분야 로봇 자동화 프로젝트 경험자(3년 이상)

근무지
ㆍ광양
담당업무 
[기계]
ㆍ산업용 로봇 및 AGV를 활용한 공정분석 및 자동화 설계
   - 산업용 로봇 프로그래밍 부문 : 공정분석, 3D 시뮬레이션, 프로그램 개발, 티칭,
     시운전 등
   - 제철소 및 대외 로봇사업 제안서 작성지원

자격요건
ㆍ기계/전기분야 전공자(기계공학, 전기공학, 로봇, 메카트로닉스 등)
ㆍ3D 시뮬레이션, OLP 사용 가능자
ㆍAutocad 사용 가능자
ㆍ산업용 로봇 프로그램 티칭 경험자

우대사항
ㆍ제철소 등 철강분야 로봇 자동화 프로젝트 경험자(3년 이상)

근무지
ㆍ광양
로봇 자동화 설계 및 Simulation
( ○명 )
담당업무 
ㆍ산업용 로봇, AGV/AMR를 활용한 로봇 자동화 설계 및 Simulation(제조/유통 물류)
   - 로봇 및 AGV/AMR 적용(제조 및 물류) 자동화 System 설계 및 Simulation
   - 제철소 및 대외 로봇 자동화 사업 제안/설계/구축

자격요건
ㆍ전자, 전기, 제어, 기계, 산업, 로봇, 메카트로닉스 등 관련 학과 전공자
ㆍ(철강, 제조 및 물류)로봇 자동화 설계, 구축, 운영 경험자
ㆍ3D 시뮬레이션, OLP 사용 가능자
ㆍ산업용 로봇 프로그램(티칭) 가능자

우대사항
ㆍ기계·전기·제어 등 관련 자격증 보유자
ㆍ제철소 등 철강분야 및 물류자동화 로봇 프로젝트 경험자(3년 이상)

근무지
ㆍ판교
 ※ 신입은 입사일로 부터 3개월 간 수습기간 적용


지원기간 및 방법
ㆍ지원기간 : 2023. 01. 27(금) ~ 2023. 02. 12(일) 
ㆍ지원방법 : 당사 채용 홈페이지에 온라인으로만 작성 가능


전형절차
ㆍ서류전형 > 인성검사[온라인] > 실무면접 > 건강검진 > 임원면접 > 결과발표 > 입사
   ※ 상세 전형일정은 회사 상황에  따라 변경될 수 있습니다.
   ※ 각 전형별 결과는 이메일로 개별안내 드립니다.


기타사항
ㆍ지원서의 내용이 사실과 다르거나 문서로 증빙이 불가한 경우, 합격이 취소되거나 심사과정에 불이익을 받을 수 있습니다.
ㆍ자세한 상세요강은 반드시 채용 홈페이지에서 직접 확인해 주시기 바랍니다."
7,2023-02-04,LX판토스,물류자동화(Robot) 분야 경력사원 상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40931026?Oem_Code=C1&logpath=1&stext=로봇&listno=8,경력,서울,홈페이지 지원,"포지션 및 자격요건
W&D 
담당업무
ㆍ물류 업무 자동화를 위한 설비 및 로봇 도입/확산 Task 수행
ㆍ자동화 설비 / 로봇 기술 Supplier 및 Trend 관리
ㆍ유관 부서와의 Communication 및 협업

자격요건
ㆍ전공 무관
ㆍ학사 이상
ㆍ물류 창고 자동화 프로젝트 또는 Process Innovation 업무 경험
ㆍ프로젝트 수행을 위한 논리적, 분석적 사고력
ㆍMS Office 사용 (MS Excel, Word, PowerPoint)

공통 자격요건 및 어학성적
ㆍ해외여행 결격 사유가 없는 자
ㆍ남성의 경우 군필 또는 면제자
ㆍ어학성적은 필수 사항이 아니므로, 성적 보유여부에 상관없이 지원가능
ㆍ2년 이내 유효한 어학성적이 있는 경우에는 성적 입력 및 증명서 추후 별도 제출 필요

우대사항
ㆍ물류 창고 자동화 또는 Process Innovation 관련 컨설팅경력
ㆍ영어 가능자

근무지
ㆍ서울특별시(본사)

전형절차
ㆍ서류전형 > 1차면접 > 2차면접 > 건강검진 > 최종전형

접수기간 및 방법
ㆍ접수기간 : 2023.01.25 17:00 ~ 2023.06.30 18:00 (상시채용)
ㆍ접수방법 : LG그룹 채용 홈페이지(http://careers.lg.com)에서 On-line 지원
   ※ 우편접수, e-mail 접수 및 방문접수는 받지 않습니다.
ㆍ제출서류 : 채용 Site 內 지원서 및 자기소개서
   ※ 졸업증명서, 성적증명서, 공인어학성적표 등은 면접 합격자에 한하여 추후 별도 제출.

유의사항
ㆍ비밀번호 분실, 지원서 수정 및 기타 오류발생 문의
   - LG Careers 사이트 (http://apply.lg.com/main/Index.rpi) 상단 “채용문의” → “1:1질문하기”로 문의
ㆍ등록된 이메일/비밀번호가 생각나지 않으면 “이메일주소/비밀번호 찾기”를 클릭해서 확인 부탁 드립니다.
ㆍ이메일, 보조이메일, 비밀번호 둘다 생각이 안나는 경우는 “이메일주소/비밀번호 찾기”하단에
   “로그인 문의”를 클릭해 문의 부탁 드립니다.
ㆍ공고 마감일에는 지원자들의 문의가 폭주하여 문의에 대한 답변 및 관련 대응이 늦어질 수 있습니다.
   지원서 등록마감시점 이후에는 기간연장 및 공고지원이 불가하므로
   등록관련 문제가 있으시면 반드시 마감 3일전까지 확인하시고 문의 및 관련 요청 부탁 드립니다.
ㆍ입사지원서는 모든 사항을 정확하게 입력해야 하며, 추후 입력사항이 허위로 판명될 경우에는 입사(합격)가 취소됩니다.
ㆍ취업보호대상자 (장애인 및 보훈대상자)는 관련 법규에 의거하여 우대합니다.
ㆍ서류전형 결과 및 면접 안내는 개인별 이메일로 공지되오니, 이메일 입력 시 주의하여 주시기 바랍니다.
ㆍ채용 서류 반환 관련
   - 당사에서는 ‘채용절차 공정화에 관한 법률’을 준수하며, 합격자 발표 이후 14일 이내에 채용서류 반환 청구신청이 가능합니다. 
     채용서류반환청구서(채용절차법 시행규칙 별지3) 작성 후 담당자 이메일로 제출 부탁드리며, 
     신청 확인 후 사업장 방문 및 등기우편을 통해 수령 가능합니다. 
     (단 해당기간 내 반환 청구가 없거나, 홈페이지/ 전자우편을 통해 지원자가 자발적으로 제출한 경우 
     채용서류는 자동 파기됩니다.)
ㆍ코로나 바이러스 관련 채용전형 안내
   - 지역사회의 건강과 안전을 위해, 코로나 19 상황이 안정화될 때 까지 많은 인원이 모이는 채용 전형은 
     최소화하여 운영될 계획입니다. 이에, 향후 안내되는 전형 Guide를 숙지하시어 채용 전형에 참가해 주시면 감사 드리겠습니다.
   - 경력사원 전형은 최대한 화상면접을 진행할 예정이며, 부득이하게 대면 면접이 이루어질 경우엔 하기 가이드를 
     따라주시기 바랍니다.
   ① 발열 및 기침 등 유증상자, 밀접 접촉자, 14일 이내 중국 방문자실 경우, 지역 보건소 / 질병관리본부 및 채용 담당자에게 
      사전 연락 부탁드립니다.
   ② 대면 면접시 반드시 마스크를 착용한 후 면접장에 방문하며, 손씻기 등 개인 위생에 철저히 신경써주시길 바랍니다.
ㆍ자세한 상세요강은 반드시 채용 홈페이지에서 직접 확인해 주시기 바랍니다."
8,2023-02-04,삼성물산,[건설부문] '23년 분야별 경력사원 채용(반도체/디스플레이 생산연구시설 분야) - 건설 로봇/자동화,https://www.jobkorea.co.kr/Recruit/GI_Read/40889464?Oem_Code=C1&logpath=1&stext=로봇&listno=9,경력,전국,홈페이지 지원,"포지션 및 자격요건
건설 로봇/자동화
수행업무
ㆍ시공 작업 자동화 기술 도입 및 지원
  - 시공 자동화 기술 센싱, 개발 및 현장 적용
  - 자동화 장비, 로봇 시공작업 지침 수립
ㆍ반도체시설 건설 현장 적용을 위한 자동화장비, 로봇 개발
  - 자동화 시스템 전장 및 기구설계 검증
  - Test 및 현장 VOC를 통한 개선요구사항 도출 및 개선

전공
ㆍ건축/기계/전기/전자/컴퓨터/산업공학/메카트로닉스/로보틱스 등 관련 학과 전공자

경험/지식
ㆍ관련 경험 5년 이상(현장 경력 포함)
ㆍ로봇, 자동화 장비 개발기획/기본설계/개발/시운전 및 상용화 경험자
ㆍSystem Integration, AMR 기구, 전장개발, 자율주행 및 모션 제어 등 관련 업무 경험자

우대사항
ㆍ기술사/기사 등 국내외 관련 분야 자격증
ㆍ건축/반도체 생산시설/플랜트 등 현장 시공/공무/설계 경험자

공통사항
ㆍ지원자격
  - 병역필 또는 군면제자로서 해외여행에 결격 사유가 없는 자
  - 비즈니스 영어회화 가능자 (영어회화 능통자 우대)
ㆍ우대사항
  - 학사 이상 학위 보유자

근무조건
ㆍ근무형태 : 정규직
ㆍ근무지역 : 국내외 현장 또는 본사

제출서류
ㆍ증빙서류는 서류전형 합격자에 한하여 제출합니다. (별도 안내 예정)
ㆍ졸업증명서, 경력증명서
ㆍ기타 자격증 및 증명서 (해당자限)
ㆍ채용서류 반환 관련 안내
   - 삼성은 채용 전형 과정에서 지원자의 불편을 최소화 하기 위해 입사지원서를 비롯하여 채용과 관련된 모든 서류는
     채용 홈페이지를 통해 접수 받고 있습니다. 채용 과정에서 일부 서류를 직접 제출 받은 경우, 아래와 같이 해당 서류를
     반환해 드리고 있으니 참고해주시기 바랍니다.
     (서류반환 요청방법 : 삼성채용 홈페이지 접속 → 회원관리/문의 → 채용서류반환청구)

전형절차
ㆍ지원서접수  →  서류전형  →  면접전형  →  건강검진  →  최종합격
ㆍ서류전형 발표시기 : '23. 2 월中

접수기간 및 방법
ㆍ접수기간 : '23. 01. 19(목) 09:00 ~ '23. 02. 05(일) 17:00까지 (한국시간 기준)
ㆍ접수방법 : 당사 채용 홈페이지 온라인 지원
  - 계정이 없으신 분들은 먼저 회원가입을 완료하시기 바랍니다.
  - 본 공고에 첨부된 입사지원서 다운로드 후 첨부 (해당 엑셀 지원서는 pdf 또는 zip파일로 첨부 부탁 드립니다)
  - 첨부된 당사 입사지원서 양식에 작성하신 후 '이력서 첨부'란에 해당파일을 첨부하시기 바랍니다.
    (파일명: ""입사지원서_지원분야_성명"") 
  - 지원서의 [Essay] 화면에서 입사지원서 등록

기타사항
ㆍ지원서는 삼성채용 홈페이지를 통해 접수하며, 그 외의 개별 접수는 받지 않습니다.
ㆍ채용관련 문의 및 전형결과 사항은 이메일로 응대 및 안내해 드리고 있으니 참고 부탁 드리겠습니다.
ㆍ기재 내용에 허위사실이 있는 경우 합격이 취소될 수 있습니다.
ㆍ전형단계별 결과는 삼성채용 홈페이지에 로그인하여 확인하실 수 있습니다.
ㆍ최종합격시 직급 및 처우는 개인별 경력사항을 고려하여 본인 협의 후 결정됩니다.
ㆍ입사지원자께서는 입사지원 시점부터 채용전형 전체 과정에 걸쳐 전/현직 직장의 영업비밀을 침해하는 일이 없도록
   각별히 유의하시기 바랍니다.
ㆍ국가 보훈 대상자 및 국가 등록 장애인은 관계 법령에 의거 우대합니다.
ㆍ자세한 상세요강은 반드시 채용 홈페이지에서 직접 확인해 주시기 바랍니다."
9,2023-02-04,두림야스카와㈜,로봇 자동경로 생성 3D 시뮬레이터 개발자  / 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40638933?Oem_Code=C1&logpath=1&stext=로봇&listno=10,경력4년↑,경기,즉시지원,
